gvkey,ai_talent_perc,retention_perc,hire_percent,rcid,ai_salary_premium,emp_ai_sentiment,executive_ai_sentiment,conm
1004,.020900212,.97453147,.016547944,708822,.60522741,,,AAR CORP
1045,.023226866,.98835349,.014875693,21007446,.29061833,1,.53825974,AMERICAN AIRLINES GROUP INC
1050,.026818335,.96040046,.033202413,356507,.21828172,,.24486864,CECO ENVIRONMENTAL CORP
1078,.042851452,.97051823,.033612043,22141982,.42711771,.33333334,,ABBOTT LABORATORIES
1094,.02614826,.96757102,.045503095,222708,.21373633,,,ACETO CORP
1161,.1138106,.97233009,.050346851,1292281,.090394154,.4074074,,ADVANCED MICRO DEVICES
1166,.018538484,.96052039,.04650832,653943,.19978794,,,ASM INTERNATIONAL NV
1186,0,1,.021507863,1248476,.90336978,,,AGNICO EAGLE MINES LTD
1209,.034575619,.97438002,.01513996,1511315,.24756019,0,,AIR PRODUCTS & CHEMICALS INC
1254,.036800347,.98630059,.014405297,155063,-.27132267,,,MATSON INC
1300,.053929932,.97712874,.027270667,20924380,.2411354,.38541666,.41291493,HONEYWELL INTERNATIONAL INC
1327,.054649897,.9722203,.044070967,47589,.16351728,,.30794066,SKYWORKS SOLUTIONS INC
1380,.049419843,.98141563,.017927963,902387,.39214352,,,HESS CORP
1393,0,.99166667,.0083333338,1401643,1.1627232,,,U-HAUL HOLDING CO
1408,.032655083,.96425712,.0070992098,278167,.34062982,,,BEAM INC
1410,.012774826,.9805361,.023356622,1289236,.8224138,,,ABM INDUSTRIES INC
1414,.0026535625,.99260795,.0072394023,1289934,.13550432,,1,PRIMERICA INC
1429,.014134452,.98941165,.009414644,881654,-.045897134,,,AMERICAN CRYSTAL SUGAR CO
1440,.040261965,.97193938,.026197065,479560,.15311506,,,AMERICAN ELECTRIC POWER CO
1447,.088365965,.97318828,.033226214,1104097,.10564715,.5,,AMERICAN EXPRESS CO
1449,.0077883583,.9883123,.010965528,1422815,.70734298,.71428573,,AFLAC INC
1468,.021493476,.98686814,.0057427878,943168,.6772688,,,AMERICAN GREETINGS  -CL A
1487,0,1,0,22142030,.17939484,,,AMERICAN INTERNATIONAL GROUP
1507,.051613443,.96136272,.06448558,1280817,-.29642755,,,VANECK EMG MKTS HIGH YLD BD
1554,.052992783,.97377658,.026291674,408559,.33093855,,,AMERICAN SCIENCE ENGINEERING
1562,.037386443,.99074078,0,877280,.23098427,,,LOGILITY SPPLY CHAIN SOL INC
1598,.03433815,.9749555,.026079692,73989,.32810274,,,AMETEK INC
1602,.052595846,.96816182,.039527312,906797,.1739465,.70833331,,AMGEN INC
1632,.063921034,.96912098,.029237278,1370175,.29378089,,,ANALOG DEVICES INC
1633,.060536243,.98370993,.02208242,878763,.59258062,,,ANALOGIC CORP
1634,.042553432,.9952718,0,107183,.035031866,,,ANALYSTS INTERNATIONAL CORP
1659,.013847454,.96562576,.033885393,137998,.46324322,,,ANDERSONS INC
1661,.25,1,0,692646,.43452349,,,NABORS INDUSTRIES LTD
1678,0,.96428573,0,789230,1.9584067,,.40000001,APA CORP
1686,.038138334,.96403432,.053023774,340631,.086155556,,,APOGEE ENTERPRISES INC
1690,.080138758,.97801143,.024238527,1232095,.21030682,.375,,APPLE INC
1704,.054125242,.97643852,.021696107,1246081,.096760496,,,APPLIED MATERIALS INC
1722,.04292972,.96209645,.031090122,805281,.39913771,,,ARCHER-DANIELS-MIDLAND CO
1742,.039399076,.98094082,.023122219,176863,-.017126722,,,ARIZONA PUBLIC SERVICE CO
1743,.025597082,.964553,.036036752,642206,.40860322,,.59100312,ARCBEST CORP
1773,.057980023,.9752996,.025593862,382720,.099358536,,,ARROW ELECTRONICS INC
1794,.01613827,.98421264,.0095426133,7617622,.26144522,,,ASHLAND INC
1823,0,.98632157,.013678452,1284105,.095993951,,,ASTRONICS CORP
1868,.032008193,.96996033,.064016387,845401,.27273121,,,ASSURANCEAMERICA CORP
1878,.13359359,.94120961,.043862335,1374849,.11700289,.5,,AUTODESK INC
